"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jan 14 16:53:13 GMT 2024","Sun Jan 14 16:53:21 GMT 2024","7404","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 16:53:24 GMT 2024","Sun Jan 14 16:53:31 GMT 2024","7384","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 16:53:34 GMT 2024","Sun Jan 14 16:53:35 GMT 2024","1059","test","test_hootel","TestHootel","","","test_hotel_list",""
