"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 14 16:57:49 GMT 2024","Sun Jan 14 16:57:52 GMT 2024","2397","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 16:58:00 GMT 2024","Sun Jan 14 16:58:01 GMT 2024","1062","test","test_hootel","TestHootel","","","test_hotel_list",""
"passed","Sun Jan 14 16:57:54 GMT 2024","Sun Jan 14 16:57:57 GMT 2024","2380","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
