"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 14 16:22:51 GMT 2024","Sun Jan 14 16:22:53 GMT 2024","1059","test","test_hootel","TestHootel","","","test_hotel_list",""
"broken","Sun Jan 14 16:22:44 GMT 2024","Sun Jan 14 16:22:49 GMT 2024","5126","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 16:22:37 GMT 2024","Sun Jan 14 16:22:42 GMT 2024","5150","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
