"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 14 16:13:57 GMT 2024","Sun Jan 14 16:13:58 GMT 2024","1061","test","test_hootel","TestHootel","","","test_hotel_list",""
"passed","Sun Jan 14 16:13:44 GMT 2024","Sun Jan 14 16:13:46 GMT 2024","1872","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 16:13:48 GMT 2024","Sun Jan 14 16:13:55 GMT 2024","6871","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
