"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 14 16:41:44 GMT 2024","Sun Jan 14 16:41:45 GMT 2024","1060","test","test_hootel","TestHootel","","","test_hotel_list",""
"broken","Sun Jan 14 16:41:34 GMT 2024","Sun Jan 14 16:41:42 GMT 2024","7381","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 16:41:29 GMT 2024","Sun Jan 14 16:41:32 GMT 2024","2733","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
