"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 14 16:19:09 GMT 2024","Sun Jan 14 16:19:11 GMT 2024","1858","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 16:19:13 GMT 2024","Sun Jan 14 16:19:20 GMT 2024","6892","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 16:19:22 GMT 2024","Sun Jan 14 16:19:23 GMT 2024","1056","test","test_hootel","TestHootel","","","test_hotel_list",""
